,precision,recall,f1-score,support
0,0.9370783422828033,0.9736766809728183,0.9550270118571529,6990.0
1,0.8940702360391479,0.772636815920398,0.8289298105150787,2010.0
accuracy,0.9287777777777778,0.9287777777777778,0.9287777777777778,0.9287777777777778
macro avg,0.9155742891609756,0.8731567484466082,0.8919784111861158,9000.0
weighted avg,0.9274731985550536,0.9287777777777778,0.9268653035574229,9000.0
