feature_index,feature_name,importance
10,feature_10,0.22294845831363694
7,feature_7,0.17828332187806134
6,feature_6,0.16045559388779715
3,feature_3,0.12365578892345266
13,feature_13,0.06233966463986226
5,feature_5,0.056333780727230685
9,feature_9,0.049950959211150246
0,feature_0,0.027366777259381074
4,feature_4,0.024383747691614957
8,feature_8,0.022163427353739093
2,feature_2,0.0146469906030872
12,feature_12,0.011511007659460138
15,feature_15,0.009742921103828064
18,feature_18,0.008399076942488634
14,feature_14,0.007393015978261415
16,feature_16,0.007034204358302377
1,feature_1,0.006570263738166991
17,feature_17,0.0061192463484744065
11,feature_11,0.0007017533820042674
