,precision,recall,f1-score,support
0,0.9376290788930194,0.9742489270386266,0.9555882972005894,6990.0
1,0.8963730569948186,0.7746268656716417,0.8310648518815053,2010.0
accuracy,0.9296666666666666,0.9296666666666666,0.9296666666666666,0.9296666666666666
macro avg,0.917001067943919,0.8744378963551342,0.8933265745410472,9000.0
weighted avg,0.9284152340024211,0.9296666666666666,0.9277780610793273,9000.0
